day,start time,from,to,distance nm,fly time,arrival time,stoppage time,from lat,from lon,destination lat,destination lon
1,8.5,AEY,KUS,473,3.15,11.7,1,65.6547,-18.0757,65.5745,-37.1349
1,8.5,KUS,GOH,380,2.53,15.2,18,65.5745,-37.1349,64.1917,-51.6742
2, weather delay
3,8.5,GOH,DY2,193,1.29,34.5,4.5,64.1917,-51.6742,66.4800,-46.2789
3,8.5,DY2,SFJ,110,0.73,39.7,18,66.4800,-46.2789,67.0106,-50.7110
4,8.5,SFJ,SDL,161,1.07,40.0,0.7,67.0106,-50.7110,65.9995,-44.5002
4,8.5,SDL,DY2,52,0.35,41.1,4.5,65.9995,-44.5002,66.4800,-46.2789
4,8.5,DY2,SFJ,110,0.73,46.3,18,66.4800,-46.2789,67.0106,-50.7110
5,8.5,SFJ,CP1,191,1.28,65.6,4.5,67.0106,-50.7110,69.8798,-46.9867
5,8.5,CP1,JAV,94,0.63,70.7,18,69.8798,-46.9867,69.2405,-51.0664
6, weather delay
7,8.0,JAV,DY2,199,1.32,90.1,0.6,69.2405,-51.0664,66.4800,-46.2789
7,8.0,DY2,SDM,204,1.36,92.0,4.5,66.4800,-46.2789,63.1489,-44.8172
7,8.0,SDM,UAK,121,0.81,97.3,18,63.1489,-44.8172,61.1614,-45.4178
8,8.0,UAK,GOH,251,1.67,117.0,0.6,61.1614,-45.4178,64.1917,-51.6742
9,8.0,GOH,NSE,268,1.79,119.4,4.5,64.1917,-51.6742,66.4797,-42.5002
9,8.0,NSE,KUS,142,0.95,124.8,18,66.4797,-42.5002,65.5745,-37.1349
