date (YYYY-MM-DD),day,day in a row count,start time (first of day),from,to,freight (kg),N PAX,distance (nm),fly+taxi+circle time (h),arrival time (local time),stoppage time (h),from lat,from lon,destination lat,destination lon,start location name,landing location name,air speed kt,description of work
2021-08-07,Saturday,1,8.25,IKA,SFJ,300,0,487,3.9,12.1,end of flying,63.7553,-68.5506,67.0106,-50.7110,Iqaluit,Kangerlussuaq,140,transit from Iqaluit with no cargo
,,,,,,,,total fly time no taxi or circling,3.5
2021-08-08,Sunday,2,8.0,SFJ,SUM,300,3,419,3.4,11.4,4,67.0106,-50.7110,72.5797,-38.5045,Kangerlussuaq,Summit,140,refuel at Summit. basic maintanance at Summit
2021-08-08,Sunday,2,8.0,SUM,EGP,300,3,188,1.7,17.1,end of flying,72.5797,-38.5045,75.6248,-35.9729,Summit,EGP,140,EGP new AWS install. Twin Otter overnights
,,,,,,,,total fly time no taxi or circling,4.3
3. weather delay
2021-08-10,Tuesday,4,9.0,EGP,NAE,150,3,99,1.1,10.1,4.0,75.6248,-35.9729,75.0000,-29.9997,EGP,NASA-E,140,maintanance at NASA-E
2021-08-10,Tuesday,4,9.0,NAE,EGP,150,3,99,1.1,15.2,4.0,75.0000,-29.9997,75.6248,-35.9729,NASA-E,EGP,140,return to EGP for overnight 2
,,,,,,,,total fly time no taxi or circling,1.4
2021-08-11,Wednesday,5,9.0,EGP,NAU,150,3,239,2.1,11.1,4.0,75.6248,-35.9729,73.8419,-49.4983,EGP,NASA-U,140,crane maintanance at NASA-U
2021-08-11,Wednesday,5,9.0,NAU,JJU,150,3,131,1.3,16.4,end of flying,73.8419,-49.4983,72.7900,-56.1305,NASA-U,Upernavik,140,return to coast. Upernavik
,,,,,,,,total fly time no taxi or circling,2.6
2021-08-12,Thursday,6,8.5,JJU,IKA,150,3,608,4.7,13.2,end of flying,72.7900,-56.1305,63.7553,-68.5506,Upernavik,Iqaluit,140,return to Canada
,,,,,,,,total fly time no taxi or circling,4.3
